study_id;Condition;Item;Context;Sentence;Verb;Target;Distractor;Last_Mentioned;Cloze;Cloze_distractor;Cloze_C_alternative;Cloze_round;Plaus;Plaus_distractor;Cloze_C_alternative_Francesca;Stimulus_tf;secretgpt2_surp;leo13b_surp;secretgpt2_bpe_split;leo13b_bpe_split
adbc23;A;1;Ein Tourist wollte seinen riesigen Koffer mit in das Flugzeug nehmen. Der Koffer war allerdings so schwer, dass die Dame am Check-in entschied, dem Touristen eine extra Gebühr zu berechnen. Daraufhin öffnete der Tourist seinen Koffer und warf einige Sachen hinaus. Somit wog der Koffer des einfallsreichen Touristen weniger als das Maximum von 30 Kilogramm.;Dann verabschiedete die Dame den Touristen und danach ging er zum Gate.;verabschiedete;Touristen;Koffer;target;0.6;0.0;;2.0;4.3;1.6;;Ein Tourist wollte seinen riesigen Koffer mit in das Flugzeug nehmen . Der Koffer war allerdings so schwer , dass die Dame am Check - in entschied , dem Touristen eine extra Gebühr zu berechnen . Daraufhin öffnete der Tourist seinen Koffer und warf einige Sachen hinaus . Somit wog der Koffer des einfallsreichen Touristen weniger als das Maximum von 30 Kilogramm . Dann verabschiedete die Dame den Touristen;2.5037169456481934;0.5673426445573568;0;1
adbc23;B;1;Ein Tourist wollte seinen riesigen Koffer mit in das Flugzeug nehmen. Der Koffer war allerdings so schwer, dass die Dame am Check-in entschied, dem Touristen eine extra Gebühr zu berechnen. Daraufhin öffnete der Tourist seinen Koffer und warf einige Sachen hinaus. Somit wog der Koffer des einfallsreichen Touristen weniger als das Maximum von 30 Kilogramm.;Dann wog die Dame den Touristen und danach ging er zum Gate.;wog;Touristen;Koffer;target;0.0;1.0;;;2.0;5.2;;Ein Tourist wollte seinen riesigen Koffer mit in das Flugzeug nehmen . Der Koffer war allerdings so schwer , dass die Dame am Check - in entschied , dem Touristen eine extra Gebühr zu berechnen . Daraufhin öffnete der Tourist seinen Koffer und warf einige Sachen hinaus . Somit wog der Koffer des einfallsreichen Touristen weniger als das Maximum von 30 Kilogramm . Dann wog die Dame den Touristen;8.035385131835938;5.560864433646202;0;1
adbc23;C;1;Ein Tourist wollte seinen riesigen Koffer mit in das Flugzeug nehmen. Der Koffer war allerdings so schwer, dass die Dame am Check-in entschied, dem Touristen eine extra Gebühr zu berechnen. Daraufhin öffnete der Tourist seinen Koffer und warf einige Sachen hinaus. Somit wog der Koffer des einfallsreichen Touristen weniger als das Maximum von 30 Kilogramm.;Dann unterschrieb die Dame den Touristen und danach ging er zum Gate.;unterschrieb;Touristen;Koffer;target;0.0;0.0;0.1333333333;;1.4;3.0;0.133333333;Ein Tourist wollte seinen riesigen Koffer mit in das Flugzeug nehmen . Der Koffer war allerdings so schwer , dass die Dame am Check - in entschied , dem Touristen eine extra Gebühr zu berechnen . Daraufhin öffnete der Tourist seinen Koffer und warf einige Sachen hinaus . Somit wog der Koffer des einfallsreichen Touristen weniger als das Maximum von 30 Kilogramm . Dann unterschrieb die Dame den Touristen;9.24989128112793;12.44763084128499;0;1
adbc23;A;2;Ein engagierter Lehrer sah eine alte Weltkarte in der Vitrine eines Antiquitätengeschäfts. Ein solch authentisches Artefakt schien dem Lehrer sehr geeignet für sein Klassenzimmer zu sein und er sprach die Verkäuferin an. Aufgeregt fragte der Lehrer die sympathische Verkäuferin, wie viel die Weltkarte kosten sollte. Obwohl er für eine zusätzliche Weltkarte selbst bezahlen musste, sagte der Lehrer der Verkäuferin, dass er dies gerne tun würde. Die Verkäuferin sagte daraufhin, wie beschämend es sei, dass die Schule nicht einmal für eine Weltkarte bezahlen würde.;Dann kaufte der Lehrer die Weltkarte und danach verließ er das Geschäft.;kaufte;Weltkarte;Verkäuferin;target;1.0;0.0;;2.0;6.3;1.1;;Ein engagierter Lehrer sah eine alte Weltkarte in der Vitrine eines Antiquitätengeschäfts . Ein solch authentisches Artefakt schien dem Lehrer sehr geeignet für sein Klassenzimmer zu sein und er sprach die Verkäuferin an . Aufgeregt fragte der Lehrer die sympathische Verkäuferin , wie viel die Weltkarte kosten sollte . Obwohl er für eine zusätzliche Weltkarte selbst bezahlen musste , sagte der Lehrer der Verkäuferin , dass er dies gerne tun würde . Die Verkäuferin sagte daraufhin , wie beschämend es sei , dass die Schule nicht einmal für eine Weltkarte bezahlen würde . Dann kaufte der Lehrer die Weltkarte;2.540379494428634;1.0077188135592223;1;1
adbc23;B;2;Ein engagierter Lehrer sah eine alte Weltkarte in der Vitrine eines Antiquitätengeschäfts. Ein solch authentisches Artefakt schien dem Lehrer sehr geeignet für sein Klassenzimmer zu sein und er sprach die Verkäuferin an. Aufgeregt fragte der Lehrer die sympathische Verkäuferin, wie viel die Weltkarte kosten sollte. Obwohl er für eine zusätzliche Weltkarte selbst bezahlen musste, sagte der Lehrer der Verkäuferin, dass er dies gerne tun würde. Die Verkäuferin sagte daraufhin, wie beschämend es sei, dass die Schule nicht einmal für eine Weltkarte bezahlen würde.;Dann küsste der Lehrer die Weltkarte und danach verließ er das Geschäft.;küsste;Weltkarte;Verkäuferin;target;0.3333333333;0.6666666667;;;3.5;2.4;;Ein engagierter Lehrer sah eine alte Weltkarte in der Vitrine eines Antiquitätengeschäfts . Ein solch authentisches Artefakt schien dem Lehrer sehr geeignet für sein Klassenzimmer zu sein und er sprach die Verkäuferin an . Aufgeregt fragte der Lehrer die sympathische Verkäuferin , wie viel die Weltkarte kosten sollte . Obwohl er für eine zusätzliche Weltkarte selbst bezahlen musste , sagte der Lehrer der Verkäuferin , dass er dies gerne tun würde . Die Verkäuferin sagte daraufhin , wie beschämend es sei , dass die Schule nicht einmal für eine Weltkarte bezahlen würde . Dann küsste der Lehrer die Weltkarte;9.240487456321716;12.734751346572011;1;1
adbc23;C;2;Ein engagierter Lehrer sah eine alte Weltkarte in der Vitrine eines Antiquitätengeschäfts. Ein solch authentisches Artefakt schien dem Lehrer sehr geeignet für sein Klassenzimmer zu sein und er sprach die Verkäuferin an. Aufgeregt fragte der Lehrer die sympathische Verkäuferin, wie viel die Weltkarte kosten sollte. Obwohl er für eine zusätzliche Weltkarte selbst bezahlen musste, sagte der Lehrer der Verkäuferin, dass er dies gerne tun würde. Die Verkäuferin sagte daraufhin, wie beschämend es sei, dass die Schule nicht einmal für eine Weltkarte bezahlen würde.;Dann füllte der Lehrer die Weltkarte und danach verließ er das Geschäft.;füllte;Weltkarte;Verkäuferin;target;0.0;0.0;0.2;;1.4;1.2;0.2;Ein engagierter Lehrer sah eine alte Weltkarte in der Vitrine eines Antiquitätengeschäfts . Ein solch authentisches Artefakt schien dem Lehrer sehr geeignet für sein Klassenzimmer zu sein und er sprach die Verkäuferin an . Aufgeregt fragte der Lehrer die sympathische Verkäuferin , wie viel die Weltkarte kosten sollte . Obwohl er für eine zusätzliche Weltkarte selbst bezahlen musste , sagte der Lehrer der Verkäuferin , dass er dies gerne tun würde . Die Verkäuferin sagte daraufhin , wie beschämend es sei , dass die Schule nicht einmal für eine Weltkarte bezahlen würde . Dann füllte der Lehrer die Weltkarte;5.5776683911681175;2.5391221687896177;1;1
adbc23;A;3;Eine Redakteurin hatte von ihrer Firma eine Streifenkarte erhalten. Mit dieser Streifenkarte konnte die Redakteurin günstig mit dem Bus zur Arbeit fahren und musste nicht jedes Mal eine Karte bei dem Busfahrer kaufen. Leider hatte die Tochter der Redakteurin eines Tages eine Zeichnung auf die Streifenkarte gemalt. Deswegen hatte die Redakteurin etwas Angst, als sie bemerkte, dass der Busfahrer heute nicht gut gelaunt war, als sie ihm die Streifenkarte überreichte.;Dann stempelte der Busfahrer die Streifenkarte und sofort fuhr er viel zu schnell weiter.;stempelte;Streifenkarte;Redakteurin;target;1.0;0.0;;1.0;6.5;1.9;;Eine Redakteurin hatte von ihrer Firma eine Streifenkarte erhalten . Mit dieser Streifenkarte konnte die Redakteurin günstig mit dem Bus zur Arbeit fahren und musste nicht jedes Mal eine Karte bei dem Busfahrer kaufen . Leider hatte die Tochter der Redakteurin eines Tages eine Zeichnung auf die Streifenkarte gemalt . Deswegen hatte die Redakteurin etwas Angst , als sie bemerkte , dass der Busfahrer heute nicht gut gelaunt war , als sie ihm die Streifenkarte überreichte . Dann stempelte der Busfahrer die Streifenkarte;0.3520819805562496;0.6228903612191061;1;1
adbc23;B;3;Eine Redakteurin hatte von ihrer Firma eine Streifenkarte erhalten. Mit dieser Streifenkarte konnte die Redakteurin günstig mit dem Bus zur Arbeit fahren und musste nicht jedes Mal eine Karte bei dem Busfahrer kaufen. Leider hatte die Tochter der Redakteurin eines Tages eine Zeichnung auf die Streifenkarte gemalt. Deswegen hatte die Redakteurin etwas Angst, als sie bemerkte, dass der Busfahrer heute nicht gut gelaunt war, als sie ihm die Streifenkarte überreichte.;Dann beschimpfte der Busfahrer die Streifenkarte und sofort fuhr er viel zu schnell weiter.;beschimpfte;Streifenkarte;Redakteurin;target;0.0;0.9333333333;;;2.2;5.6;;Eine Redakteurin hatte von ihrer Firma eine Streifenkarte erhalten . Mit dieser Streifenkarte konnte die Redakteurin günstig mit dem Bus zur Arbeit fahren und musste nicht jedes Mal eine Karte bei dem Busfahrer kaufen . Leider hatte die Tochter der Redakteurin eines Tages eine Zeichnung auf die Streifenkarte gemalt . Deswegen hatte die Redakteurin etwas Angst , als sie bemerkte , dass der Busfahrer heute nicht gut gelaunt war , als sie ihm die Streifenkarte überreichte . Dann beschimpfte der Busfahrer die Streifenkarte;8.823551390320063;10.329142548143864;1;1
adbc23;C;3;Eine Redakteurin hatte von ihrer Firma eine Streifenkarte erhalten. Mit dieser Streifenkarte konnte die Redakteurin günstig mit dem Bus zur Arbeit fahren und musste nicht jedes Mal eine Karte bei dem Busfahrer kaufen. Leider hatte die Tochter der Redakteurin eines Tages eine Zeichnung auf die Streifenkarte gemalt. Deswegen hatte die Redakteurin etwas Angst, als sie bemerkte, dass der Busfahrer heute nicht gut gelaunt war, als sie ihm die Streifenkarte überreichte.;Dann aß der Busfahrer die Streifenkarte und sofort fuhr er fuhr viel zu schnell weiter.;aß;Streifenkarte;Redakteurin;target;0.06666666667;0.0;0.1333333333;;1.8;1.0;0.2;Eine Redakteurin hatte von ihrer Firma eine Streifenkarte erhalten . Mit dieser Streifenkarte konnte die Redakteurin günstig mit dem Bus zur Arbeit fahren und musste nicht jedes Mal eine Karte bei dem Busfahrer kaufen . Leider hatte die Tochter der Redakteurin eines Tages eine Zeichnung auf die Streifenkarte gemalt . Deswegen hatte die Redakteurin etwas Angst , als sie bemerkte , dass der Busfahrer heute nicht gut gelaunt war , als sie ihm die Streifenkarte überreichte . Dann aß der Busfahrer die Streifenkarte;0.4531720653176307;0.4572743224398437;1;1
adbc23;A;4;Während er einen Tisch baute, brach ein Schreiner seinen schönen Hammer in zwei Teile. Der Schreiner hatte den Hammer immer gemocht. Deswegen schien es ihm eine Schande, ihn einfach wegzuwerfen. Es erschien dem Schreiner eine viel bessere Idee, den Hammer von seinem Lehrling reparieren zu lassen.;Dann nahm der Lehrling den Hammer und sofort machte er sich an die Arbeit.;nahm;Hammer;Schreiner;target;0.8;0.0;;1.0;6.1;1.5;;Während er einen Tisch baute , brach ein Schreiner seinen schönen Hammer in zwei Teile . Der Schreiner hatte den Hammer immer gemocht . Deswegen schien es ihm eine Schande , ihn einfach wegzuwerfen . Es erschien dem Schreiner eine viel bessere Idee , den Hammer von seinem Lehrling reparieren zu lassen . Dann nahm der Lehrling den Hammer;0.1730494052171707;0.142078036442399;0;1
